Experiment Number,ROB Size,IQ Size,LQ Size,SQ Size,Number of Physical Registers,CPU Fetch Width,Number of Cycles,Power
511,16,16,256,1024,128,2,30541480,9.0847
512,16,16,256,1024,128,4,30574430,9.63919
513,16,16,256,1024,128,6,29074213,10.4883
514,16,16,256,1024,128,8,30432442,11.6942
515,16,16,256,1024,256,2,30541480,9.13896
516,16,16,256,1024,256,4,30574430,9.78171
517,16,16,256,1024,256,6,29074213,14.0055
518,16,16,256,1024,256,8,30432442,19.0593
519,16,16,256,1024,512,2,30541480,9.80107
520,16,16,256,1024,512,4,30574430,12.233
521,16,16,256,1024,512,6,29074213,14.937
522,16,16,256,1024,512,8,30432442,20.7725
523,16,16,256,1024,1024,2,30541480,10.0081
524,16,16,256,1024,1024,4,30574430,13.3651
525,16,16,256,1024,1024,6,29074213,19.9705
526,16,16,256,1024,1024,8,30432442,137.334
527,16,16,256,1024,2048,2,30541480,10.3609
528,16,16,256,1024,2048,4,30574430,14.3578
529,16,16,512,16,64,2,30945082,8.75028
530,16,16,512,16,64,4,30612101,9.26077
531,16,16,512,16,64,6,29126851,10.0495
532,16,16,512,16,64,8,29738312,11.1747
533,16,16,512,16,128,2,30945082,8.7825
534,16,16,512,16,128,4,30612101,9.33706
535,16,16,512,16,128,6,29126849,10.1862
536,16,16,512,16,128,8,29761470,11.3923
537,16,16,512,16,256,2,30945082,8.83635
538,16,16,512,16,256,4,30612101,9.47918
539,16,16,512,16,256,6,29126849,13.7032
540,16,16,512,16,256,8,29761470,18.7572
541,16,16,512,16,512,2,30945082,9.49813
542,16,16,512,16,512,4,30612101,11.9302
543,16,16,512,16,512,6,29126849,14.6344
544,16,16,512,16,512,8,29761470,20.4701
545,16,16,512,16,1024,2,30945082,9.70473
546,16,16,512,16,1024,4,30612101,13.062
547,16,16,512,16,1024,6,29126849,19.6679
548,16,16,512,16,1024,8,29761470,137.033
549,16,16,512,16,2048,2,30945082,10.0572
550,16,16,512,16,2048,4,30612101,14.0545
551,16,16,512,64,64,2,30541480,8.76781
552,16,16,512,64,64,4,30574430,9.2783
553,16,16,512,64,64,6,29074213,10.067
554,16,16,512,64,64,8,30432444,11.1922
555,16,16,512,64,128,2,30541480,8.80007
556,16,16,512,64,128,4,30574430,9.35464
557,16,16,512,64,128,6,29074213,10.2038
558,16,16,512,64,128,8,30432442,11.4098
559,16,16,512,64,256,2,30541480,8.85397
560,16,16,512,64,256,4,30574430,9.4968
561,16,16,512,64,256,6,29074213,13.7208
562,16,16,512,64,256,8,30432442,18.7748
563,16,16,512,64,512,2,30541480,9.51578
564,16,16,512,64,512,4,30574430,11.9478
565,16,16,512,64,512,6,29074213,14.652
566,16,16,512,64,512,8,30432442,20.4877
567,16,16,512,64,1024,2,30541480,9.72243
568,16,16,512,64,1024,4,30574430,13.0797
569,16,16,512,64,1024,6,29074213,19.6855
570,16,16,512,64,1024,8,30432442,137.05
571,16,16,512,64,2048,2,30541480,10.075
572,16,16,512,64,2048,4,30574430,14.0722
573,16,16,512,128,64,2,30541480,8.7884
574,16,16,512,128,64,4,30574430,9.29888
575,16,16,512,128,64,6,29074213,10.0876
576,16,16,512,128,64,8,30432444,11.2128
577,16,16,512,128,128,2,30541480,8.82072
578,16,16,512,128,128,4,30574430,9.37527
579,16,16,512,128,128,6,29074213,10.2244
580,16,16,512,128,128,8,30432442,11.4305
581,16,16,512,128,256,2,30541480,8.87466
582,16,16,512,128,256,4,30574430,9.51749
583,16,16,512,128,256,6,29074213,13.7415
584,16,16,512,128,256,8,30432442,18.7955
585,16,16,512,128,512,2,30541480,9.53653
586,16,16,512,128,512,4,30574430,11.9686
587,16,16,512,128,512,6,29074213,14.6727
588,16,16,512,128,512,8,30432442,20.5085
589,16,16,512,128,1024,2,30541480,9.74322
